"Add Recipient","Přidat příjemce"
"Allow for Guests","Dovolit pro návštěvníky"
"Back","Zpět"
"Catalog Product Email to a Friend","Poslat známému"
"Email Address","Emailová adresa"
"Email Address:","Emailová adresa:"
"Email templates","Šablony emailu"
"Email to a Friend","Poslat známému"
"Email:","Email:"
"Enabled","Aktivní"
"Invalid Sender information","Neplatné informace o odesílateli"
"Invalid sender email","Neplatný email odesílatele"
"Limit Sending By","Omezené odesílání na"
"Link to a friend was sent.","Vašemu známému byl odeslán odkaz."
"Max Products Sent in 1 Hour","Maximálně odesláno produktů za 1 hodinu"
"Max Recipients","Maximálně příjemců"
"Maximum %d email addresses allowed.","Maximální povolené množství emailů: %d."
"Message can't be empty","Zpráva nesmí být prázdná"
"Message:","Zpráva:"
"Name","Jméno"
"Name:","Jméno:"
"Please define correct Cookie instance","Prosím definujte správnou instanci Cookie"
"Please define correct Product instance","Prosím definujte správnou instanci produktu"
"Please define correct Sender information","Prosím definujte správné informace o odesílateli"
"Recipient:","Příjemce:"
"Remove Email","Odebrat email"
"Select email template","Vybrat šablonu emailu"
"Send email","Poslat email"
"Send product to a friend","Poslat produkt příteli"
"Sender name can't be empty","Jméno odesílatele nesmí být prázdné"
"Sender:","Odesilatel:"
"Some emails was not sent","Některé emaily nebyly odeslány"
"Some problems with data.","Nějaké problémy s daty."
"You cannot send more than %d emails at a time","Nemůžete odeslat více jak %d emailů za daný čas"
"You cannot send more than %d times in an hour","Nemůžete odeslat více jak %d za hodinu"
"You have exceeded limit of %d sends in an hour","Překročili jste limit %d pro posílání za hodinu"
"You have to specify at least one recipient","Musíte zadat alespoň jednoho příjemce"
"You input invalid email address for recipient","Zadali jste špatnou emailovou adresu příjemce"
