"Action","Událost"
"Add New Block","Přidat nový blok"
"Add New Page","Přidat novou stránku"
"All countries","Všechny země"
"Anchor Custom Text","Vlastní text kotvy"
"Anchor Custom Title","Vlastní nadpis kotvy"
"Are you sure you want to delete current folder?","Opravdu chcete smazat tento adresář?"
"Are you sure you want to delete the selected file?","Opravdu chcete smazat vybrané soubory?"
"Block","Blok"
"Block Information","Informace o bloku"
"Block Title","Nadpis bloku"
"Block was successfully deleted","Blok byl úspěšně smazán"
"Block was successfully saved","Blok byl úspěšně uložen"
"CMS","CMS"
"CMS Home Page","Domovská stránka CMS"
"CMS No Cookies Page","CMS stránka Zakázané cookies"
"CMS No Route Page","CMS Stránka nenalezena"
"CMS No-Route Page","CMS Stránka nenalezena"
"CMS Page","Stránka CMS"
"CMS Page Link","Odkazna stránku CMS"
"CMS Page Link Block Template","Odkaz na šablonu bloku"
"CMS Page Link Inline Template","Odkaz na vnořené šablony"
"CMS Pages (All)","CMS Stránky (všechny)"
"CMS Static Block","Statické bloky CMS"
"CMS Static Block Default Template","Výchozí šablona statických bloků"
"Cannot create new directory","Nelze vytvořit nový adresář"
"Cannot delete directory %s","Adresář %s nelze smazat"
"Cannot delete root directory %s","Kořenový adresář %s nelze smazat"
"Cannot upload file","Soubor nelze nahrát"
"Collapse All","Sbalit vše"
"Content","Obsah"
"Content Heading","Obsah hlavičky"
"Content Management","Správa obsahu"
"Contents of a Static Block","Obsah statického bloku"
"Create Folder...","Vytvořit adresář..."
"Custom Design","Uživatelský Vzhled"
"Custom Design From","Vlastní vzhled od"
"Custom Design To","Vlastni vzhled do"
"Custom Layout","Vlastní rozvržení"
"Custom Layout Update XML","Aktualizovat rozvržení XML"
"Custom Theme","Uživatelské téma"
"Customer Tax Class Information","Informace o daňové třídě zákazníka"
"Date Created","Datum vytvoření"
"Delete Block","Smazat blok"
"Delete File","Smazat soubor"
"Delete Folder","Smazat složku"
"Delete Page","Smazat stránku"
"Description","Popis"
"Design","Vzhled"
"Directory %s is not writable by server","Server nemá práva zápisu do adresáře: %s"
"Disabled","Neaktivní"
"Disabled Completely","Kompletně vypnuto"
"Disabled by Default","Ve výchozím stavu vypnuto"
"Edit Block","Upravit blok"
"Edit Block '%s'","Upravit blok '%s'"
"Edit Page","Upravit stránku"
"Edit Page '%s'","Upravit stránku '%s'"
"Enable WYSIWYG editor","Povolit WYSIWYG editor"
"Enabled","Povoleno"
"Enabled by Default","Ve výchozím stavu zapnuto"
"Error while saving Page. Please try again later.","Chyba při ukládání stránky. Prosím zkuste to později."
"Expand All","Rozbalit vše"
"General Information","Všeobecné informace"
"Go to Home Page","Na hlavní stránku"
"Home","Domů"
"ID","ID"
"Identifier","Identifikátor"
"If empty, the Page Title will be used","Pokud necháte prázdné, použije se nadpis stránky"
"Images (%s)","Obrázků (%s)"
"Insert File","Vložit soubor"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Neplatné jméno složky. Prosím používejte pouze alfanumerickou klávesnici, podtržítka a lomítka."
"Keywords","Klíčová slova"
"Last Modified","Naposledy změněno"
"Layout","Rozvržení"
"Layout Update XML","Aktualizovat rozvržení XML"
"Link to a CMS Page","Odkaz na stránku"
"Manage Pages","Správa stránek"
"Media Storage","Úložiště médií"
"Meta Data","Meta Data"
"Meta Description","Meta popis"
"Meta Keywords","Meta klíčová slova"
"New Block","Nový blok"
"New Folder Name:","Nové jméno složky:"
"New Page","Nová stránka"
"No files found","Soubory nenalezeny"
"Page Information","Informace o stránce"
"Page Layout","Rozvržení stránky"
"Page Status","Stav stránky"
"Page Title","Název stránky"
"Page URL Key cannot consist only of numbers.","Identifikátor stránky nesmí obsahovat pouze číslice."
"Page URL Key for specified store already exist.","Identifikátor stránky pro vybraný obchod již existuje."
"Page was successfully deleted","Stránka byla úspěšně smazána"
"Page was successfully saved","Stránka byla úspěšně uložena"
"Pages","Stránky"
"Product Tax Class Information","Informace o daňové kategorii produktu"
"Redirect to CMS-page if cookies are disabled","Přesměrovat na stránku pokud jsou vypnuté cookies"
"Relative to Website Base URL","Relativně k hlavní url stránky"
"Save Block","Uložit blok"
"Save Page","Uložit stránku"
"Select Block...","Vyberte blok..."
"Select Page...","Vyberte stránku..."
"Show breadcrumbs for CMS pages","Ukázat navigaci pro CMS stránky"
"Show notice if JavaScript is disabled","Zobrazit upozornění, pokud je JavaScript vypnutý"
"Static Blocks","Statické bloky"
"Status","Stav"
"Storage Root","Kořen úložiště"
"Store View","Obchod Pohled"
"Such a block identifier in selected store already exist.","Identifikátor bloku ve vybraném obchodě již existuje."
"Such directory already exists. Try another folder name","Adresář již existuje, zkuste jiné jméno."
"Template","Šablona"
"The page you are trying to save no longer exists","Stránka kterou zkoušíte uložit již déle neexistuje"
"This Block no longer exists","Tento blok již dlouho neexistuje"
"This block no longer exists","Tento blok již dlouho neexistuje"
"This page no longer exists","Tato stránka již dlouho neexistuje"
"Title","Nadpis"
"URL Key","Klíč url"
"Unable to find a block to delete","Nenalezen blok k smazání"
"Unable to find a page to delete","Nenalezena stránka k smazání"
"WYSIWYG Options","Možnosti WYSIWYG"
"px.","px."
