"Add","Přidat"
"Allow Gift Messages for Order Items","Povolit přání pro objednané položky"
"Allow Gift Messages on Order Level","Povolit přání pro objednávku"
"Are you sure?","Jste si jisti?"
"Check this checkbox if you want to add gift messages to your items.","Zaškrtněte toto pole pokud chcete přidat dárkové přání k Vašim položkám."
"Check this checkbox if you want to add gift messages.","Zaškrtněte toto pole pokud chcete přidat dárkové přání."
"Do you have any gift items in your order?","Máte ve Vaší objednávce nějaký dárek?"
"Edit","Upravit"
"Enter a gift message for each item in your order.","Vložte přání pro vybranou položku z Vaší objednávky."
"Enter a gift message for entire order.","Vložte přání pro Vaší objednávku."
"Enter a gift message for this address.","Vložte přání pro tuto adresu."
"Error while saving gift message","Chyba při ukládání přání."
"From","Od"
"Gift Messages","Přání"
"Gift message has been successfully saved","Přání bylo úspěšně uloženo"
"Item %d of %d","Položka %d z %d"
"Message","Zpráva"
"No","Ne"
"Save Gift Message","Uložit přání"
"To","Pro"
"Unknown entity type","Neznámý typ vlastnosti"
"Use config","Použít nastavení"
"Yes","Ano"
"You can leave a box blank if you don't wish to add a gift message for the item.","Ponechte tento box prázdný, pokud nechcete přidat k položce přání."
"You can leave a box blank if you don't wish to add a gift message for this address.","Ponechte tento box prázdný, pokud nechcete přidat k této adrese přání."
"You can leave a box blank if you don't wish to add a gift message for whole order.","Ponechte tento box prázdný, pokud nechcete přidat k objednávce přání."
"Your gift message successfully removed","Vaše přání bylo úspěšně odebráno"
"Your gift message successfully saved","Vaše přání bylo úspěšně uloženo"
"* Required Fields","* Povinná pole"
"Add Gift Message","Přidat zprávu k dárku"
"Cancel","Zrušit"
"Close","Zavřít"
"Edit Gift Message","Upravit dárkové přání"
"Gift Message","Přání"
"Remove","Odstranit"
"Save","Uložit"
"Your gift message has been successfully removed","Vaše přání bylo úspěšně odebráno"
"Your gift message has been successfully saved","Vaše přání bylo úspěšně uloženo"
