"Add New Row","Přidat nový řádek"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'."
"An error occurred while getting requested content. Please contact the store owner.","Omlouváme se, nastala chyba při požadovaném obsahu. Prosím kontaktujte správce obchodu."
"An error occurred while getting the requested content.","Omlouváme se, nastala chyba při získávání požadovaného obsahu."
"An error occurred while getting the requested content. Please contact the store owner.","Omlouváme se, nastala chyba při požadovaném obsahu. Prosím kontaktujte správce obchodu."
"An error occurred while saving the file(s).","Chyba během ukládání souborů."
"Availability:","Dostupnost: "
"Back","Zpět"
"Canceled","Zrušené"
"Cannot connect to remote host, error: %s.","Nelze se připojit ke vzdálenému hostiteli, chyba: %s."
"Catalog Product View (Downloadable)","Zobrazení produktů (stahovatelných)"
"Customer My Account Downloadable Items","Zákaznické stažitelné položky"
"Date","Datum"
"Default Link Title","Výchozí nadpis odkazu"
"Default Maximum Number of Downloads","Výchozí hodnota maximálního počtu stažení"
"Default Sample Title","Výchozí nadpis ukázky"
"Disable Guest Checkout if Cart Contains Downloadable Items","Vypnout možnost nákupu hostů pokud košík obsahuje elektronicky distribuované produkty"
"Downloadable Information","Stahovatelné informace"
"Downloadable Product","Elektronicky distribuovaný produkt"
"Downloadable Product Options","Nastavení elektronicky distribuovaného produktu"
"Downloadable product Section","Elektronicky distribuovaný produkt"
"Excl. Tax","Bez daně"
"File","Soubor"
"From:","Od:"
"Gift Message","Přání"
"Go to <a href=""%s"">My Downloadable Products</a>","Přejít na <a href=""%s"">Moje produkty ke stažení</a>"
"Guest checkout will only work with shareable.","Hosté mohou pracovat pouze se sdílenými."
"In Stock","Skladem"
"Incl. Tax","S daní"
"Invalid download URL host.","Chybná adresa URL"
"Invalid download URL scheme.","Chybný režim URL"
"Invalid download link type.","Chybný typ odkazu"
"Invoiced","Fakturováno"
"Links can be purchased separately","Odkazy lze zakoupit samostatně"
"Max. Downloads","Maximum stažení"
"Message:","Zpráva:"
"Move to Wishlist","Přesunout do seznamu přání"
"My Downloadable Products","Moje soubory ke stažení"
"Open Links in New Window","Otevřít odkaz v novém okně"
"Order #","Objednávka č."
"Order Item Status to Enable Downloads","Stav objednávky k umožnění stažení"
"Ordered","Objednáno"
"Out of Stock","Vyprodáno"
"Pending","Čekající"
"Please log in to download your product.","Přihlaste se pro stahování Vašich produktů."
"Please set resource file and link type.","Prosím nastavte zdrojový soubor a typ odkazu."
"Please specify product link(s).","Specifikujte odkazy produktu."
"Price","Cena"
"Qty","Množství"
"Refunded","Splacený"
"Remaining Downloads","Zbývá stažení"
"Remove Item","Odstranit položku"
"Requested link does not exist.","Požadovaný odkaz neexistuje."
"Sample","Ukázka"
"Shareable","Sdílený"
"Shipped","Odesláno"
"Sort Order","Řazení objednávek"
"Start Download","Zahájit stahování"
"Status","Stav"
"The file does not exist.","Soubor neexistuje."
"The link has expired.","Odkaz vypršel."
"The link is not available.","Odkaz není dostupný."
"Title","Nadpis"
"To:","Pro:"
"U","U"
"Unlimited","Neomezeno"
"View Order","Zobrazit objednávku"
"You have not purchased any downloadable products yet.","Nemáte zakoupeny žádné produkty ke stažení."
"attachment","příloha"
"download","stáhnout"
"inline","inline"
"sample","ukázka"
